index,Questions,Options,Answer
1,1. Digital forensics is all of them except:,A. Extraction of computer data. | B. Preservation of computer data. | C. Interpretation of computer data. | D. Manipulation of computer data.,Ans:D
2,2. IDIP stands for,A. Integrated Digital Investigation Process. | B. Integrated Data Investigator Process. | C. Integrated Digital Investigator Process. | D. Independent Digital Investigator Process.,Ans: A
3,3. Who proposed Road Map for Digital Forensic Research (RMDFR),A. G.Gunsh. | B. S.Ciardhuain | C. J.Korn. | D. G.Palmar,Ans: D
4,4. Investigator should satisfy following points:,A. Contribute to society and human being. | B. Avoid harm to others. | C. Honest and trustworthy. | D. All of the above,Ans: D
5,"5. In the past, the method for expressing an opinion has been to frame a question based on available factual evidence.",A. Hypothetical | B. Nested | C. Challenging | D. Contradictory,Ans: A
6,6. More subtle because you are not aware that you are running these macros (the document opens and the application automatically runs); spread via email,A. The purpose of copyright | B. Danger of macro viruses | C. Derivative works | D. computer-specific crime,Ans: B
7,7. There are three c's in computer forensics. Which is one of the three?,A. Control | B. Chance | C. Chains | D. Core,Ans: A
8,8. When Federal Bureau Investigation program was created?,A.1979 | B.1984 | C.1995 | D.1989,Ans: B
9,9. When the field of PC forensics began?,A.1960's | B.1970's | C.1980's | D.1990's,Ans: C
10,10. What is Digital Forensic?,"A. Process of using scientific knowledge in analysis and presentation of evidence in court | B. The application of computer science and investigative procedures for a legal purpose involving the analysis of digital evidence after proper search authority, chain of custody, validation with mathematics, use of validated tools, repeatability, reporting, and possible expert presentation | C. process where we develop and test hypotheses that answer questions about digital events | D. Use of science or technology in the investigation and establishment of the facts or evidence in a court of law",Ans: B
11,11. Digital Forensics entails .,"A. Accessing the system's directories viewing mode and navigating through the various systems files and folders | B. Undeleting and recovering lost files | C. Identifying and solving computer crimes | D. The identification, preservation, recovery, restoration and presentation of digital evidence from systems and devices",Ans: D
12,12. Which of the following is FALSE?,"A. The digital forensic investigator must maintain absolute objectivity | B. It is the investigator’s job to determine someone’s guilt or innocence. | C. It is the investigator’s responsibility to accurately report the relevant facts of a case. | D. The investigator must maintain strict confidentiality, discussing the results of an investigation | on only a “need to know”",Ans: B
13,13. What is the most significant legal issue in computer forensics?,A. Preserving Evidence | B. Seizing Evidence | C. Admissibility of Evidence | D. Discovery of Evidence,Ans: C
14,14.   phase includes putting the pieces of a digital puzzle together and developing investigative hypotheses,A. Preservation phase | B. Survey phase | C. Documentation phase | D. Reconstruction phase | E. Presentation phase,Ans: D
15,15. In phase investigator transfers the relevant data from a venue out of physical or administrative control of the investigator to a controlled location,A. Preservation phase | B. Survey phase | C. Documentation phase | D. Reconstruction phase | E. Presentation phase,Ans:B
